index,i_a,i_b,i_c,u_a,u_b,di_1,di_2
627,15.9149169921875,-22.07183837890625,5.79833984375,488.9726257324219,698.6478271484375,0,0
628,13.36669921875,-23.4222412109375,9.796142578125,505.6455993652344,758.2662963867188,0,0
629,9.22393798828125,-23.406982421875,13.9617919921875,534.4443359375,816.7732543945312,0,0
630,4.87518310546875,-21.99554443359375,16.92962646484375,567.9923706054688,872.2487182617188,0,0
631,1.1749267578125,-20.71380615234375,19.40155029296875,613.2620239257812,930.4525756835938,0,0
632,-3.2806396484375,-18.798828125,21.9268798828125,668.2322387695312,982.5934448242188,0,0
633,-7.86590576171875,-15.4571533203125,23.03314208984375,721.0805053710938,1023.21484375,0,0
634,-11.36016845703125,-11.871337890625,22.83477783203125,776.7581176757812,1062.8258056640625,0,0
635,-14.9078369140625,-8.29315185546875,22.76611328125,836.4776611328125,1092.02880859375,0,0
636,-18.4783935546875,-3.56292724609375,21.6827392578125,892.05419921875,1104.962890625,0,0
637,-20.57647705078125,0.9307861328125,19.287109375,942.8814697265625,1110.62158203125,0,0
638,-22.003173828125,4.608154296875,17.059326171875,995.0223999023438,1109.3079833984375,0,0
639,-23.5595703125,8.78143310546875,14.5263671875,1037.0584716796875,1091.5235595703125,0,0
640,-23.6053466796875,12.48931884765625,10.9100341796875,1066.96875,1064.8468017578125,0,0
641,-22.20916748046875,15.20538330078125,6.69097900390625,1095.8685302734375,1036.4521484375,0,0
642,-20.57647705078125,18.1427001953125,2.03704833984375,1111.02587890625,993.1024780273438,0,0
643,-18.37158203125,20.83587646484375,-2.7313232421875,1106.98388671875,937.9301147460938,0,0
644,-15.07568359375,21.93450927734375,-7.2174072265625,1098.9000244140625,886.4965209960938,0,0
645,-11.98577880859375,22.37701416015625,-10.67352294921875,1083.5406494140625,830.313720703125,0,0
646,-8.453369140625,22.68218994140625,-14.5416259765625,1053.529296875,769.9879150390625,0,0
647,-3.7078857421875,21.6217041015625,-18.16558837890625,1013.0089721679688,714.1082153320312,0,0
648,0.54931640625,19.44732666015625,-20.16448974609375,968.8508911132812,661.2599487304688,0,0
649,4.26483154296875,17.52471923828125,-21.85821533203125,914.9921875,607.603271484375,0,0
650,8.72039794921875,14.71710205078125,-23.41461181640625,856.3841552734375,564.85986328125,0,0
651,12.71820068359375,10.4827880859375,-23.1170654296875,800.8076171875,533.635986328125,0,0
652,15.472412109375,6.64520263671875,-22.03369140625,742.805908203125,506.3529357910156,0,0
653,18.4326171875,2.6092529296875,-21.18682861328125,682.6821899414062,490.08416748046875,0,0
654,21.0723876953125,-2.20489501953125,-19.134521484375,631.45068359375,491.0946350097656,0,0
655,22.02606201171875,-6.46209716796875,-15.838623046875,586.2821044921875,496.3491516113281,0,0
656,22.68218994140625,-10.07080078125,-12.88604736328125,542.3261108398438,510.0917053222656,0,0
657,23.0560302734375,-14.1448974609375,-9.19342041015625,512.617919921875,539.5977783203125,0,0
658,21.6827392578125,-17.70782470703125,-4.26483154296875,496.0459899902344,577.187744140625,0,0
659,19.6380615234375,-19.72198486328125,-0.1678466796875,485.03173828125,621.2448120117188,0,0
660,18.0511474609375,-21.8505859375,3.56292724609375,485.3348693847656,675.6087646484375,0,0
661,15.52581787109375,-23.68927001953125,7.78961181640625,502.81622314453125,734.5199584960938,0,0
662,11.65008544921875,-23.56719970703125,11.3525390625,520.8028564453125,789.5912475585938,0,0
663,7.42340087890625,-22.4151611328125,14.58740234375,547.78271484375,848.5023803710938,0,0
664,3.0670166015625,-21.4996337890625,18.05877685546875,593.6586303710938,906.9083251953125,0,0
665,-1.71661376953125,-19.41680908203125,20.77484130859375,644.2838134765625,958.1397705078125,0,0
666,-5.69915771484375,-16.41845703125,21.728515625,694.9089965820312,1004.8240966796875,0,0
